skenario,n,median,mean,top_n,porsi_top_persen
Utama,374.0,32.0,97.75133689839572,38.0,47.8240652096611
Tanpa 5 terbesar,369.0,31.0,88.73712737127371,37.0,44.817371121426824
Semua angka literal 2025–2026,387.0,33.0,104.77260981912144,39.0,48.37349249019656
